NAME,DT,ID_RSSD,RISKY832,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKN255,RISKG506,RISKM422,RISKM426,RISKY896,RISIY832,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM426,RISIN255,RISIG506,RISIM422,RISIY896,RISOY832,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM426,RISON255,RISOG506,RISOM422,RISOY896
ALLY FINANCIAL INC.,20201231,1562859,187830300,16390000,4512000,84879000,91354000,0,0,13688000,10086000,129000,818000,275000,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,
AMERICAN EXPRESS COMPANY,20201231,1275216,224004300,6086000,10559000,137119000,180127000,0,0,41911000,770000,0,29717000,13854000,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,
BANK OF AMERICA CORPORATION,20201231,1073757,3292434400,210107000,145972000,596459000,138000000000,3500795000,680737000,26751292000,146046000,9962000,446020000,303905000,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANK OF NEW YORK MELLON CORPORATION, THE",20201231,3587146,464458600,83837000,322240000,69050000,194000000000,32420000000,40081000,973421000,47792000,0,131167000,188378000,63.18,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL ONE FINANCIAL CORPORATION,20201231,2277860,486140441,59374151,4453658,110660199,999958847,7,5099376,222877589,14004087,635708,9605000,1003206,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,
CITIGROUP INC.,20201231,1951350,2866037800,218283000,297520000,529433000,177000000000,18670967000,562918000,35883902000,112113000,16135000,1052741000,1089917000,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,
"CITIZENS FINANCIAL GROUP, INC.",20201231,1132449,212409217,3891688,5057683,33915820,690407553,3003338,6452337,205271936,2560924,855432,3071000,460000,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,
DISCOVER FINANCIAL SERVICES,20201231,3846375,134350873,13688129,3458,77266194,420852521,0,0,11926198,59311,0,47000,16000,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFTH THIRD BANCORP,20201231,1070345,239841395,3477092,7631803,40446938,1333066880,353426354,12221104,142968154,10919109,877441,3273000,409000,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDMAN SACHS GROUP, INC., THE",20201231,2380443,1540632500,256081000,94628000,432870000,13065701000,1437622000,468722000,35665778000,116574000,26985000,490913000,389928000,53.48,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON BANCSHARES INCORPORATED,20201231,1068191,135757014,3492623,1677933,23189124,548019431,122727551,6328511,83872119,5022303,3245005,828000,0,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMORGAN CHASE & CO.,20201231,1039502,4132092800,324608000,576951000,757092000,510000000000,31368913000,718209000,44380307000,226906000,16420000,910095000,779575000,36.38,,,,,,,,,,,,,,,,,,,,,,,,,,
KEYCORP,20201231,1068025,205914041,3317037,3083577,35479820,1271490572,93093832,14230905,132647190,3413433,128834,1718000,0,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,
M&T BANK CORPORATION,20201231,1037003,158766903,3578476,22855514,23809445,1915931874,104713442,388940,89750013,741710,43615,435300,52262,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN STANLEY,20201231,2162966,1353418000,222356000,67391000,381597000,15636089000,3124674000,473847000,30824890000,187946000,19891000,395833000,334108000,76.41,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN TRUST CORPORATION,20201231,1199611,160791344,42275096,21091015,25913505,47103563817,11262800000,0,346752178,13960666,0,56355000,93039000,50.31,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNC FINANCIAL SERVICES GROUP, INC., THE",20201231,1069778,549200836,32252982,20445000,116438435,3910276000,109630808,40258000,455522000,23010418,5136756,9983000,3361000,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIONS FINANCIAL CORPORATION,20201231,3242838,174537500,4934000,3216000,25322000,595565000,26612000,6654000,127395000,5185000,345000,608000,767000,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE STREET CORPORATION,20201231,1111435,311434773,70140243,259634557,40961145,95195297840,29052174000,0,1734344494,17207324,16000,111405000,173526000,43.27,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUIST FINANCIAL CORPORATION,20201231,1074156,580315600,6224000,7302000,127939000,1290499000,119530000,37188000,292943000,9488000,2209000,3226000,2577000,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. BANCORP,20201231,1119794,676364900,20552000,15010000,143814000,10504572000,1957665000,47200000,678359000,24511000,4980000,14532000,44293000,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,
WELLS FARGO & COMPANY,20201231,1120754,2255907712,155317154,147629299,403925900,53841552617,3477165021,272131285,9162047493,80317068,22081000,173269000,71642323,12.88,,,,,,,,,,,,,,,,,,,,,,,,,,
"CHARLES SCHWAB CORPORATION, THE",20201231,1026632,511486300,23224000,3615000,121762000,667196000,6666725000,0,7527000,77935000,0,12420000,12415000,75.83,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNCHRONY FINANCIAL,20201231,4504654,137403800,1705000,10585000,69072000,130732000,0,0,0,2843000,40000,200000,29000,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",20201231,1391237,,,,,,,,,,,,,,,,,,,,,,,,,,,143374357,9481140,21862293,13465509,2391769973,2870524,11344800,115568309,10061744,207149,329835,3994928,
"BANCO SANTANDER, S.A.",20201231,1239254,,,,,,,,,,,,,,,,,,,,,,,,,,,214542985,8491249,32129416,49163849,4315450766,0,26913288,426671487,12644469,2028917,331024,8322466,
BANK OF MONTREAL,20201231,1231333,,,,,,,,,,,,,,,,,,,,,,,,,,,317937837,76685298,32615163,68165234,12677004621,332788571,25899406,51866426,8134000,7110036,739143,69701000,
"BANK OF NOVA SCOTIA, THE",20201231,1238967,,,,,,,,,,,,,,,,,,,,,,,,,,,157271929,11744254,16735323,17030905,16367112796,15009979,40191907,4827033,14136323,1143927,0,73985363,
BARCLAYS PLC,20201231,1231418,,,,,,,,,,,,,,,,,,,,,,,,,,,276739000,23055000,2618000,11898000,44312977000,42486000,155592000,331278000,24399400,8694000,2121000,80632000,
BNP PARIBAS,20201231,1231968,,,,,,,,,,,,,,,,,,,,,,,,,,,286989081,32228641,18634889,32488133,25208990248,765992952,63413742,117126644,16867008,2571069,140631,48504871,
BPCE,20201231,3969283,,,,,,,,,,,,,,,,,,,,,,,,,,,98592448,16693047,3438044,23304950,6903485681,0,5491268,30282550,6682876,197767,727224,68295992,
CREDIT SUISSE AG,20201231,1647970,,,,,,,,,,,,,,,,,,,,,,,,,,,265943628,34336809,9232850,43675079,67548421851,142580396,236243139,1451546960,25042414,31905363,3915457,86943667,
DEUTSCHE BANK AKTIENGESELLSCHAFT,20201231,1242423,,,,,,,,,,,,,,,,,,,,,,,,,,,363615800,48651000,57336000,64011000,87620103000,96169000,114706000,6708648000,26909000,8399000,4594000,72446000,
HSBC HOLDINGS PLC,20201231,1857108,,,,,,,,,,,,,,,,,,,,,,,,,,,274599220,40132470,36408483,29534126,43096084804,474089476,52960283,3812897167,0,25731654,873586,36924000,
"MITSUBISHI UFJ FINANCIAL GROUP, INC.",20201231,2961897,,,,,,,,,,,,,,,,,,,,,,,,,,,475024223,44949534,34513286,81606159,11344519182,612391687,67739777,1019463388,29995377,21277494,4343409,78850572,
"MIZUHO FINANCIAL GROUP, INC.",20201231,3185355,,,,,,,,,,,,,,,,,,,,,,,,,,,374341450,51309402,118077806,34591914,59346106389,321749518,88610766,6149325440,21769140,6992916,22487,141950704,
ROYAL BANK OF CANADA,20201231,1232497,,,,,,,,,,,,,,,,,,,,,,,,,,,348216342,50181970,45772498,33329320,10020651665,467026616,147111320,83420568,7869349,11328238,279289,71118930,
SOCIETE GENERALE,20201231,1242375,,,,,,,,,,,,,,,,,,,,,,,,,,,198915709,25029016,2987756,4158490,11282648905,44193818,24216459,38245653,22604693,1460411,467911,50552362,
"SUMITOMO MITSUI FINANCIAL GROUP, INC.",20201231,3133262,,,,,,,,,,,,,,,,,,,,,,,,,,,284212899,69753315,12079016,79345410,9927875303,0,46080028,3471091904,20951842,2550098,1029000,99897656,
"TORONTO-DOMINION BANK, THE",20201231,1238565,,,,,,,,,,,,,,,,,,,,,,,,,,,611951176,30984214,6346034,43873517,11050668963,7211489,82499624,4075678874,6050017,58700297,93956,92607823,
UBS GROUP AG,20201231,4795461,,,,,,,,,,,,,,,,,,,,,,,,,,,276931995,21758432,49961344,7739265,1271975672,1749496543,27194984,697736200,3382628,5162096,2682146,48306275,
BARCLAYS US LLC,20201231,5006575,,,,,,,,,,,,,,95603000,21190000,2256000,7122000,36865316000,28108000,155592000,319972000,22789400,8694000,403000,66241000,79.55,,,,,,,,,,,,,
"BBVA USA BANCSHARES, INC.",20201231,1078529,,,,,,,,,,,,,,114503481,791963,6138914,8025798,513284702,2870524,11344800,55643711,2932000,207149,211140,1780000,15.40,,,,,,,,,,,,,
BMO FINANCIAL CORP.,20201231,1245415,,,,,,,,,,,,,,222161494,38558731,30759273,24405103,7544040360,332788571,25899406,40932169,6608000,5562045,644530,8876000,27.74,,,,,,,,,,,,,
"BNP PARIBAS USA, INC.",20201231,1575569,,,,,,,,,,,,,,162631921,10904844,7804457,7296378,13654364686,7678430,63413742,69843913,2690680,2374485,140631,12616000,46.28,,,,,,,,,,,,,
DB USA CORPORATION,20201231,2816906,,,,,,,,,,,,,,143249900,29364000,11206000,27000,68255576000,96147000,114706000,25540000,12195000,2679000,236000,34049000,120.18,,,,,,,,,,,,,
HSBC NORTH AMERICA HOLDINGS INC.,20201231,3232316,,,,,,,,,,,,,,274599220,40132470,36408483,29534126,43096084804,474089476,52960283,3812897167,0,25731654,873586,36924000,50.43,,,,,,,,,,,,,
MUFG AMERICAS HOLDINGS CORPORATION,20201231,1378434,,,,,,,,,,,,,,192563135,18163552,13684575,16957649,3181542183,158545906,67739777,215895291,5093619,10048696,1640824,10089000,21.36,,,,,,,,,,,,,
RBC US GROUP HOLDINGS LLC,20201231,5280254,,,,,,,,,,,,,,165376830,23457395,36104749,1565774,8453038090,467026616,147111320,57486197,5996955,9531289,179253,7832000,29.85,,,,,,,,,,,,,
"SANTANDER HOLDINGS USA, INC.",20201231,3981856,,,,,,,,,,,,,,160405170,4353925,24877651,40812994,291334725,0,26913288,68916302,10951000,1072505,191729,3674388,9.78,,,,,,,,,,,,,
TD GROUP US HOLDINGS LLC,20201231,3606542,,,,,,,,,,,,,,541739393,18744938,3765769,8740546,10354460498,7211489,82499624,271942011,5655001,56337366,93956,59196000,35.30,,,,,,,,,,,,,
