ï»¿Name (Legal),DT,ID_RSSD,RISKG506,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,,,,,,,,,,,,,,,,,,,,,,,,,
"CHARLES SCHWAB CORPORATION, THE",20211231,1026632,0,22318000,3548000,191550000,630943000,8107132000,0,9436000,14725000,16988000,84328000,633915400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVB FINANCIAL GROUP,20211231,1031449,269000,66730000,49389000,46439000,2063211000,279000,44490000,32496000,18273000,47760000,2164000,228691800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&T BANK CORPORATION,20211231,1037003,11728,4464969,25157770,26048698,1934792033,125282862,414750,56933283,386546,55455,548988,170826544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMORGAN CHASE & CO.,20211231,1039502,17478000,358995000,482190000,858162000,500425870000,34006821000,768143000,47969068000,926216000,833201000,207994000,4621786800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEYCORP,20211231,1068025,62057,2879683,4517550,37410281,1427243649,119572886,16901562,134718617,1982000,0,5034564,225723659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTINGTON BANCSHARES INCORPORATED,20211231,1068191,3948552,4226557,2506384,32676552,487685822,135322346,6442732,75804506,1834000,13000,7510206,191631822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PNC FINANCIAL SERVICES GROUP, INC., THE",20211231,1069778,5881444,35599781,20216000,133315137,4310713000,125032810,42137000,499887000,11576000,9783000,26169693,659461385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIFTH THIRD BANCORP,20211231,1070345,1286584,3232796,8578137,45090171,1449676528,446878200,12272830,155640827,3089000,351044,13765658,249853283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANK OF AMERICA CORPORATION,20211231,1073757,10672000,239439000,152543000,708804000,156944930000,4264274000,654128000,32221454000,508185000,391780000,185102000,3683185300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUIST FINANCIAL CORPORATION,20211231,1074156,2686000,7120000,7906000,128537000,1296787000,72480000,35378000,268837000,3901000,2913000,18837000,623849900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE STREET CORPORATION,20211231,1111435,0,58249576,270261753,48815216,107290070199,32844615931,0,2540578000,110730000,202044000,17658758,335989705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. BANCORP,20211231,1119794,4350000,27984000,15348000,142963000,11874505000,2448205000,35479000,747086000,13645000,32482000,22505000,708472500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELLS FARGO & COMPANY,20211231,1120754,19751000,177145077,118292615,391759916,58615976633,3493138858,258062553,8903499750,176250000,58814189,89044744,2343923312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
