ID_RSSD,Name (Legal),DT,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
1026632,"CHARLES SCHWAB CORPORATION, THE",20221231,29461000,732000,189966000,696650000,7018556000,0,8884000,0,19240000,10218000,78156000,585741000,,,,,,,,,,,,,,,,,,,,,,,,
1031449,SVB FINANCIAL GROUP,20221231,82322000,37732000,27328000,1819676000,657000,4219000,29929000,389000,23267000,36762000,1515000,235931600,,,,,,,,,,,,,,,,,,,,,,,,
1037003,M&T BANK CORPORATION,20221231,14896958,15116203,38607846,2572065213,124968070,617245,66902688,452,634570,54759,672362,222837831,,,,,,,,,,,,,,,,,,,,,,,,
1039502,JPMORGAN CHASE & CO.,20221231,367566000,478516000,839929000,539248576000,29418255000,445478000,48667860000,23626000,988947000,836701000,198322000,4420651000,,,,,,,,,,,,,,,,,,,,,,,,
1068025,KEYCORP,20221231,2830424,9585661,36394932,1882336810,115045455,10169947,148078023,16533,2554000,0,5031533,232477992,,,,,,,,,,,,,,,,,,,,,,,,
1068191,HUNTINGTON BANCSHARES INCORPORATED,20221231,8363626,2130573,34573037,616386225,141534289,3521474,94701745,3855486,2110000,25000,6656951,205100645,,,,,,,,,,,,,,,,,,,,,,,,
1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE",20221231,44737789,20617000,109427878,4464010000,109882839,28435000,551426000,7116438,12869000,11266000,9499720,664914844,,,,,,,,,,,,,,,,,,,,,,,,
1070345,FIFTH THIRD BANCORP,20221231,3454028,6963877,43618106,1865261737,418967313,6385230,181508783,1875712,4949000,455559,15459783,247491279,,,,,,,,,,,,,,,,,,,,,,,,
1073757,BANK OF AMERICA CORPORATION,20221231,237734000,147696000,614396000,171081282000,3564530000,459795000,34037411000,10719000,574277000,379595000,210195000,3602535700,,,,,,,,,,,,,,,,,,,,,,,,
1074156,TRUIST FINANCIAL CORPORATION,20221231,10061000,8502000,113171000,2123421000,69424000,20686000,302354000,3777000,6182000,3180000,9442000,659870100,,,,,,,,,,,,,,,,,,,,,,,,
1075612,"FIRST CITIZENS BANCSHARES, INC.",20221231,5586581,5341485,24356570,278392631,7374256,44938,18850919,175222,1498000,444000,1221300,119498098,,,,,,,,,,,,,,,,,,,,,,,,
1111435,STATE STREET CORPORATION,20221231,56710988,249554688,46038166,86577328305,27236000000,0,2299870000,4000,102144000,178424273,12111590,324472000,,,,,,,,,,,,,,,,,,,,,,,,
1119794,U.S. BANCORP,20221231,33879000,21222000,144402000,13976671000,2435793000,27676000,1097752000,5011000,17058000,34596000,22167000,780516200,,,,,,,,,,,,,,,,,,,,,,,,
1120754,WELLS FARGO & COMPANY,20221231,183638962,117667420,381587845,64852430434,2626242979,200897805,11459027889,11628000,191073000,59567681,71581788,2253050893,,,,,,,,,,,,,,,,,,,,,,,,
1132449,"CITIZENS FINANCIAL GROUP, INC.",20221231,4379826,6375657,39371477,816244240,2272003,4579009,249385734,1534947,5075000,191742,3263434,262731491,,,,,,,,,,,,,,,,,,,,,,,,
1199611,NORTHERN TRUST CORPORATION,20221231,18165958,25760936,26002477,55417892921,9712300000,0,310687196,0,40273000,93137840,0,165046460,,,,,,,,,,,,,,,,,,,,,,,,
1231333,BANK OF MONTREAL,20221231,,,,,,,,,,,,,,,,,,,,,,,,,574727,101493796,31500454,57078202,14396160355,319020368,28318923,107718121,42703000,11296000,4776463,383992329
1231342,CANADIAN IMPERIAL BANK OF COMMERCE,20221231,,,,,,,,,,,,,,,,,,,,,,,,,467,15663987,9586260,39683709,2741359580,50811119,8191817,30252049,25967804,3275063,287939,151868232
1231418,BARCLAYS PLC,20221231,,,,,,,,,,,,,,,,,,,,,,,,,6913000,13091000,1932000,31873000,49365089000,55524000,87620000,415238000,73524000,23314000,5979000,366252300
1231968,BNP PARIBAS,20221231,,,,,,,,,,,,,,,,,,,,,,,,,68001,29446367,32084227,34134636,27513752335,691653859,38122692,148544402,56658900,21655495,3110125,304486740
1232497,ROYAL BANK OF CANADA,20221231,,,,,,,,,,,,,,,,,,,,,,,,,1610757,68002404,49913645,44480519,12842511863,493365280,111188943,77044528,73086012,10888429,8318475,480965794
1238565,"TORONTO-DOMINION BANK, THE",20221231,,,,,,,,,,,,,,,,,,,,,,,,,58807,46211759,8969981,62944761,11203800435,10259080,50155219,5064351158,70057845,5483355,76624796,672925948
1238967,"BANK OF NOVA SCOTIA, THE",20221231,,,,,,,,,,,,,,,,,,,,,,,,,0,13143757,12565152,31924592,12668301714,2069068,29661765,0,100325488,20344859,1081443,192350549
1239254,"BANCO SANTANDER, S.A.",20221231,,,,,,,,,,,,,,,,,,,,,,,,,128697,21923370,34754810,68321375,5064919970,0,35634747,590498293,13182053,20675064,2152605,261292278
1242375,SOCIETE GENERALE,20221231,,,,,,,,,,,,,,,,,,,,,,,,,94218,34966164,3850317,2036822,11973387538,50950107,16244071,32026125,41889848,16591222,836891,200653079
1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,20221231,,,,,,,,,,,,,,,,,,,,,,,,,4634000,44727000,52156000,72853000,88922415000,69018000,62683000,3407426000,84250000,25953000,8719000,371996500
1245415,BMO FINANCIAL CORP.,20221231,,,,,,,,,,,,,550458,55507578,30988108,31012653,10163904499,319020368,28318923,99780956,9072000,8288000,3244583,245068010,,,,,,,,,,,,
1275216,AMERICAN EXPRESS COMPANY,20221231,8602000,10181000,157122000,277250000,0,0,43280000,47000,39651000,16116000,705100,264529200,,,,,,,,,,,,,,,,,,,,,,,,
1378434,MUFG AMERICAS HOLDINGS CORPORATION,20221231,,,,,,,,,,,,,0,3273617,1182024,0,2434518973,998977,45473070,10777806,4508000,4493455,1213098,131240092,,,,,,,,,,,,
1562859,ALLY FINANCIAL INC.,20221231,6425000,2851000,62687000,69373000,0,0,33832000,7000,814000,247000,10512000,199289200,,,,,,,,,,,,,,,,,,,,,,,,
