NAME,ID_RSSD,AsOfDate,RISKM362,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISIG506,RISIM362,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISOG506,RISOM362,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832
ALLY FINANCIAL INC.,1562859,12/31/2023,7853000,1274000,79387000,69016000,0,0,44468000,12000,849000,280000,6400000,202836800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
SYNCHRONY FINANCIAL,4504654,12/31/2023,2631000,10848000,80710000,156108000,0,0,1000,27000,168000,0,1301000,160392200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AMERICAN EXPRESS COMPANY,1275216,12/31/2023,10907000,12049000,189799000,373215000,0,0,51200000,92000,45904000,20689000,817800,302427700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FLAGSTAR FINANCIAL, INC.",2132932,12/31/2023,677248,9942549,31339686,394932398,0,0,15069580,1154331,NULL,695000,1040950,121414237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DISCOVER FINANCIAL SERVICES,3846375,12/31/2023,3339540,3500986,92884323,533154977,0,0,19364139,0,89000,34000,112010,174581431,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0
"CHARLES SCHWAB CORPORATION, THE",1026632,12/31/2023,23754000,2262000,225379000,543156000,8447453000,0,20252000,0,15668000,9410000,69254000,497789000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
HUNTINGTON BANCSHARES INCORPORATED,1068191,12/31/2023,9271928,1890584,42772544,595641714,171333673,3113344,95403219,4002817,2042000,21373,6780847,210921968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
REGIONS FINANCIAL CORPORATION,3242838,12/31/2023,9636000,2590000,33417000,760031000,34413000,5271000,170448000,912000,1005000,1018000,4916000,184244300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"CITIZENS FINANCIAL GROUP, INC.",1132449,12/31/2023,4097346,4262659,49639394,816652732,2022968,5141614,307446027,1559321,4449000,108561,3063693,255300089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"FIRST CITIZENS BANCSHARES, INC.",1075612,12/31/2023,51111200,16004059,74986054,876180932,8735449,104762,34755016,164477,9293000,5250920,1459989,241419883,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
