ï»¿ID_RSSD,Name,As of Date,RISKM370,RISKM376,RISKM390,RISKM405,RISKM408,RISKM411,RISKG506,RISKM422,RISKM426,RISKN255,RISKY832,RISKY862,RISIG506,RISIM370,RISIM376,RISIM390,RISIM405,RISIM408,RISIM411,RISIM422,RISIM426,RISIN255,RISIY832,RISIY862,RISOG506,RISOM370,RISOM376,RISOM390,RISOM405,RISOM408,RISOM411,RISOM422,RISOM426,RISON255,RISOY832,RISOY862
1039502,JPMORGAN CHASE & CO.,12/31/2024,523451000,1325580000,601106854000,36631152000,626659000,47188342000,23782000,993154000,979367000,291899000,4892956200,24199000,,,,,,,,,,,,,,,,,,,,,,,,
1951350,CITIGROUP INC.,12/31/2024,324619000,678801000,203742436000,22688858000,526270000,39160373000,9190000,931796000,1036054000,90836000,3023015000,15924000,,,,,,,,,,,,,,,,,,,,,,,,
3587146,"BANK OF NEW YORK MELLON CORPORATION, THE",12/31/2024,289548000,95127000,247781751000,39206800000,12179000,1083384000,0,100912000,160391000,39911344,466148400,34000,,,,,,,,,,,,,,,,,,,,,,,,
1111435,STATE STREET CORPORATION,12/31/2024,265504891,56908646,110096048981,33805000000,0,2635527000,1000,101567000,149958000,13927370,365840700,0,,,,,,,,,,,,,,,,,,,,,,,,
1073757,BANK OF AMERICA CORPORATION,12/31/2024,164166000,865479000,170118331000,4714168000,696097000,39449735000,10015000,598194000,444923000,212603000,3897425900,4034000,,,,,,,,,,,,,,,,,,,,,,,,
1120754,WELLS FARGO & COMPANY,12/31/2024,146442277,550357169,68552796135,2694182430,304315866,12739459027,8345000,175234000,83688024,76793173,2294843879,0,,,,,,,,,,,,,,,,,,,,,,,,
2380443,"GOLDMAN SACHS GROUP, INC., THE",12/31/2024,82841000,600789000,19438170000,2012839000,356626000,33623790000,20956000,572068000,551308000,200622000,2127674000,420000,,,,,,,,,,,,,,,,,,,,,,,,
2162966,MORGAN STANLEY,12/31/2024,72138000,575513000,16692547000,4510009000,385785000,26257639000,7494000,317357000,219429000,129262000,1540145700,392000,,,,,,,,,,,,,,,,,,,,,,,,
1069778,"PNC FINANCIAL SERVICES GROUP, INC., THE",12/31/2024,24708000,152378896,5810444000,144877726,41473000,675992000,7430619,13530000,10485000,11024607,683218230,0,,,,,,,,,,,,,,,,,,,,,,,,
1199611,NORTHERN TRUST CORPORATION,12/31/2024,22256373,31432847,73978386883,13349200000,0,393641641,0,49158000,85688000,5033247,167013277,0,,,,,,,,,,,,,,,,,,,,,,,,
1037003,M&T BANK CORPORATION,12/31/2024,16707506,54958876,1507864522,98089782,2376912,80502701,3908,295000,47982,4255151,231286297,0,,,,,,,,,,,,,,,,,,,,,,,,
1119794,U.S. BANCORP,12/31/2024,14262000,176052000,16259561000,2585296000,43412000,1286123000,4571000,23618000,31032000,22138000,825836200,0,,,,,,,,,,,,,,,,,,,,,,,,
1075612,"FIRST CITIZENS BANCSHARES, INC.",12/31/2024,13749000,79477000,1122436000,7609000,428000,39757000,185000,8622000,4883000,3013000,247848400,0,,,,,,,,,,,,,,,,,,,,,,,,
1275216,AMERICAN EXPRESS COMPANY,12/31/2024,11043000,258006000,463540000,0,0,62118000,108000,45861000,20151000,788000,320984400,0,,,,,,,,,,,,,,,,,,,,,,,,
4504654,SYNCHRONY FINANCIAL,12/31/2024,9399000,88745000,157593000,0,0,1000,31000,205000,49000,1053000,163017600,0,,,,,,,,,,,,,,,,,,,,,,,,
1070345,FIFTH THIRD BANCORP,12/31/2024,7421000,54011000,1692760000,511188000,10545000,171593000,1815000,4531000,543000,11929000,251576300,0,,,,,,,,,,,,,,,,,,,,,,,,
2132932,"FLAGSTAR FINANCIAL, INC.",12/31/2024,5801244,32789084,215299296,0,0,3129629,61645,,478000,772669,105543603,0,,,,,,,,,,,,,,,,,,,,,,,,
1068025,KEYCORP,12/31/2024,4719721,47653770,1713467375,115513906,15069912,154973566,13626,2374000,0,3381602,225799335,0,,,,,,,,,,,,,,,,,,,,,,,,
1074156,TRUIST FINANCIAL CORPORATION,12/31/2024,4425000,126358000,2790415000,55112000,47078000,387677000,3723000,4346000,3178000,5443000,631042600,0,,,,,,,,,,,,,,,,,,,,,,,,
1026632,"CHARLES SCHWAB CORPORATION, THE",12/31/2024,3510000,194460000,426366000,10053384000,0,40829000,0,14339000,12977000,63691000,479227500,0,,,,,,,,,,,,,,,,,,,,,,,,
3846375,DISCOVER FINANCIAL SERVICES,12/31/2024,3501764,101219659,610435264,0,0,33213727,0,65000,39000,78879,170924690,0,,,,,,,,,,,,,,,,,,,,,,,,
2277860,CAPITAL ONE FINANCIAL CORPORATION,12/31/2024,2799905,181444994,1265319065,9,8257383,301212250,783037,8045000,530821,10996598,574415926,0,,,,,,,,,,,,,,,,,,,,,,,,
1132449,"CITIZENS FINANCIAL GROUP, INC.",12/31/2024,2769859,52226393,905441828,1892227,10641598,278199665,1493914,5055000,78373,3227289,250130941,0,,,,,,,,,,,,,,,,,,,,,,,,
1068191,HUNTINGTON BANCSHARES INCORPORATED,12/31/2024,2542217,47375272,679632813,204735842,2785664,104488139,4661982,3032000,21094,5398294,226077905,0,,,,,,,,,,,,,,,,,,,,,,,,
3242838,REGIONS FINANCIAL CORPORATION,12/31/2024,2358000,39660000,777518000,37701000,8242000,173365000,1015000,1319000,1062000,4006000,187903700,0,,,,,,,,,,,,,,,,,,,,,,,,
1562859,ALLY FINANCIAL INC.,12/31/2024,1285000,73664000,57144000,0,0,39839000,45000,834000,317000,6045000,198186900,0,,,,,,,,,,,,,,,,,,,,,,,,
1857108,HSBC HOLDINGS PLC,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,258084,26829264,36901195,50863513561,753504124,43068660,1255169316,30474000,36250439,11358199,307715495,0
4795461,UBS GROUP AG,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,2990468,108122040,36403954,5884602389,2228424444,23651840,749031780,31418344,25414064,5123493,388919240,0
1239254,"BANCO SANTANDER, S.A.",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,2881144,31240337,82364285,6692050076,0,45626531,717023491,11190603,15803360,7690063,305429984,0
1232497,ROYAL BANK OF CANADA,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,356377,32380453,33094301,11706701511,656411625,117161801,90612877,83419158,10746257,7444695,487992724,483368
1231333,BANK OF MONTREAL,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,172812,38386008,78700370,14890488640,372857795,52474869,623096108,53450000,7061000,5455491,513615198,0
1231418,BARCLAYS PLC,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,6993000,11005000,21417000,61905512000,69573000,126811000,500561000,69271000,26877000,8922000,419712700,324000
1231342,CANADIAN IMPERIAL BANK OF COMMERCE,12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,303,18812653,43213369,5829687432,60101440,18261554,70430581,60241634,2246057,402843,200550101,0
3133262,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,669721,11014726,65349970,7233845170,0,55549343,4884524623,69044158,12402199,4194851,369995820,0
1238565,"TORONTO-DOMINION BANK, THE",12/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,53456,7110526,74165504,27751151773,51231327,82578089,6900864917,86820362,5094325,52412416,721577928,0
