table,model,seed,n_params,prevalence,auprc,auroc,f1_youden,brier,ece,loss_start,loss_end
T1,logreg,0,8,0.0248073670362713,0.078953473382327,0.8431939358900238,0.1312820512820512,0.0602550268293543,0.1195596841847512,,
T1,xgboost,0,3816,0.0248073670362713,0.0952647735842644,0.8672775159574158,0.1431767337807606,0.0257018692791461,0.0204616706316752,,
T1,gcn,0,1345,0.0248073670362713,0.1461988956451293,0.8821954367338833,0.141656662665066,0.0612036250531673,0.078266094232952,,
T1,gat,0,3105,0.0248073670362713,0.1095036466229515,0.8806799932257632,0.1583793738489871,0.2076291441917419,0.2423663299029593,,
T1,generic_vqc,0,138,0.0248073670362713,0.0685890628971672,0.8149655156303836,0.1325051759834368,0.2611308395862579,0.4876815587130957,1.3208934869617224,1.2283774064853787
T1,cqgt_full,0,386,0.0248073670362713,0.2095487333034904,0.9055811536058213,0.1524249422632794,0.243563637137413,0.4692914141420806,1.2632586574181914,1.2407936928793788
T1,logreg,1,8,0.0233301975540921,0.0764274173567557,0.8409934067026678,0.1170212765957446,0.0517345610378301,0.1024030747978495,,
T1,xgboost,1,4048,0.0233301975540921,0.0843428401112838,0.8572358486462301,0.143340094658553,0.0349647477269172,0.0467053766748509,,
T1,gcn,1,1345,0.0233301975540921,0.276177446725643,0.9087207387475842,0.1385474860335195,0.0480011962354183,0.0694749943178996,,
T1,gat,1,3105,0.0233301975540921,0.0961534105524338,0.8457426314775573,0.2467866323907455,0.1236340552568435,0.1503580583936318,,
T1,generic_vqc,1,138,0.0233301975540921,0.0696409522805765,0.7580287843103137,0.0905722519555372,0.1743416488170623,0.3897887578407549,1.2595355194061997,1.1046955473721027
T1,cqgt_full,1,386,0.0233301975540921,0.0781912612358104,0.7323251781930263,0.1269549218031278,0.2411616444587707,0.4675905482228477,1.2788508431985974,1.257690982893109
